Kowsardb#1401-9-26#18:37:19 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:19')"
Kowsardb#1401-9-26#18:37:20 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:19')"
Kowsardb#1401-9-26#18:37:20 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:19')"
Kowsardb#1401-9-26#18:37:20 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:20')"
Kowsardb#1401-9-26#18:37:25 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:24')"
Kowsardb#1401-9-26#18:37:25 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:24')"
Kowsardb#1401-9-26#18:37:25 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:24')"
Kowsardb#1401-9-26#18:37:25 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:24')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:25')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:25')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:25')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:25')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:26')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:26')"
Kowsardb#1401-9-26#18:37:26 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:26')"
Kowsardb#1401-9-26#18:37:27 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:27')"
Kowsardb#1401-9-26#18:37:29 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:29')"
Kowsardb#1401-9-26#18:37:29 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('Read timed out','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:29')"
Kowsardb#1401-9-26#18:37:30 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:29')"
Kowsardb#1401-9-26#18:37:30 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:29')"
Kowsardb#1401-9-26#18:37:30 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:30')"
Kowsardb#1401-9-26#18:37:39 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:39')"
Kowsardb#1401-9-26#18:37:39 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:39')"
Kowsardb#1401-9-26#18:37:40 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:39')"
Kowsardb#1401-9-26#18:37:40 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:39')"
Kowsardb#1401-9-26#18:37:40 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:40')"
